Instruction:            Description:
adc            // Add with carry.
adcs           // Add with carry flags.
add            // Add two values.
adds           // Add and set flags.
adr            // Load label address.
adrp           // Load page address.
and            // Bitwise AND.
ands           // AND and set flags.
asr            // Arithmetic shift right.
b              // Unconditional branch.
b.eq           // Branch if equal.
b.ne           // Branch if not equal.
b.lt           // Branch if less.
b.gt           // Branch if greater.
b.le           // Branch if less equal.
b.ge           // Branch if greater equal.
bic            // Bit clear (AND NOT).
bics           // Bit clear flags.
bl             // Branch with link.
blr            // Branch to register.
br             // Branch to register address.
cbz            // Compare and branch zero.
cbnz           // Compare branch not zero.
ccmp           // Conditional compare.
cinc           // Conditional increment.
cinv           // Conditional invert.
clz            // Count leading zeros.
cls            // Count leading sign bits.
cmp            // Compare values.
cneg           // Conditional negate.
csel           // Conditional select.
cset           // Set based on condition.
csinc          // Conditional select increment.
csinv          // Conditional select invert.
csneg          // Conditional select negate.
eor            // Exclusive OR.
eon            // Exclusive OR NOT.
extr           // Extract bits.
ldp            // Load pair registers.
ldpsw          // Load pair sign extend.
ldr            // Load from memory.
ldrb           // Load byte.
ldrh           // Load halfword.
ldrsb          // Load signed byte.
ldrsh          // Load signed halfword.
ldrsw          // Load signed word.
lsl            // Logical shift left.
lsr            // Logical shift right.
madd           // Multiply and add.
mneg           // Multiply negate.
mov            // Move value.
movk           // Move keep bits.
movn           // Move bitwise NOT.
movz           // Move zero.
msub           // Multiply and subtract.
mul            // Multiply.
neg            // Negate value.
negs           // Negate set flags.
nop            // No operation.
orn            // OR NOT.
orr            // OR operation.
prfm           // Prefetch memory.
rbit           // Reverse bits.
ret            // Return subroutine.
rev            // Reverse byte order.
rev16          // Reverse bytes halfword.
rev32          // Reverse bytes word.
ror            // Rotate right.
sbc            // Subtract with carry.
sbcs           // Subtract with carry flags.
sdiv           // Signed divide.
smaddl         // Signed multiply add long.
smulh          // Signed multiply high.
smull          // Signed multiply long.
stp            // Store pair registers.
str            // Store register.
strb           // Store byte.
strh           // Store halfword.
sub            // Subtract.
subs           // Subtract set flags.
svc            // Supervisor call.
tbnz           // Test bit branch not.
tbz            // Test bit branch zero.
tst            // Test bits.
ubfiz          // Bitfield insert.
ubfx           // Bitfield extract.
udiv           // Unsigned divide.
umaddl         // Unsigned multiply add long.
umulh          // Unsigned multiply high.
umull          // Unsigned multiply long.
uxtb           // Unsigned extend byte.
uxth           // Unsigned extend halfword.
